u1,u2
-0.38926337442679354,0.24664114207476884
0.7219043051248375,1.1099794203834699
0.7543623128638988,1.191344221226461
-0.2682512394770222,0.29797918801161777
0.6513815692734728,1.154097704146102
0.6806105859503574,1.2389322405195942
-0.1806938819629281,0.3469778968294828
0.5783061705496089,1.1935677058238572
0.6042011235146645,1.2815204854320152
-0.11750196058526441,0.392622881898915
0.5029714452529147,1.2282456500752403
0.5254443998929395,1.3189478152983678
-0.07278097025735691,0.4338611867621059
0.4256772560815769,1.2580066073636569
0.44465662213360413,1.351074588699795
-0.04207751396510895,0.4699484722662423
0.3467288950988762,1.2827444432681279
0.36215821311235896,1.3777826365976327
-0.021936165006305047,0.50042461550885
0.26643606194882635,1.3023717248789775
0.2782725111127541,1.3989750699060066
-0.009692621016120312,0.5249467974963359
0.18511191469337215,1.316819606076485
0.1933247247564504,1.4145759745845699
-0.0031904504731235656,0.5432104732230342
0.10307218618319561,1.3260377117218527
0.10764115686690218,1.4245300592825367
-0.0005444063252145401,0.5549608129792242
0.02063435484732669,1.3299940379572524
0.021548679604767983,1.428802325583508
-4.34639815927694e-06,0.5600274306751889
-0.06188314456249623,1.3286748820450318
-0.06462559009171916,1.4273778219779565
0.00011743201386295657,0.5583365042193311
-0.14416168720034267,1.3220848106678411
-0.15055449271972068,1.4202615290202918
0.0014969358817229494,0.5499126675678306
-0.22588321967685537,1.3102466706049125
-0.23591100291178513,1.407478398238383
0.005846002728029306,0.5348785644339503
-0.3067310355706926,1.2932016404732534
-0.3203684816309527,1.3890735372380523
0.014970564688894433,0.5134496601468393
-0.38639058267668075,1.2710093170697512
-0.4036010926599952,1.3651125044802075
0.03086851449054523,0.48591063259588363
-0.4645503178083971,1.243747825059761
-0.48528444874510357,1.3356816588207836
0.05591390171351315,0.45258205616193964
-0.5409026220433404,1.211513934592673
-0.5650965220619903,1.3008884968251437
0.09314036367197401,0.4138450503879034
-0.6151447855821474,1.174423168104948
-0.642718820413439,1.2608619089512767
0.14645405380766924,0.37029741863316257
-0.6869800671176799,1.1326098752584834
-0.7178378020100437,1.215752294868841
0.2209838121593848,0.32282187029678083
-0.7561188280298937,1.0862272537528908
-0.7901464803796269,1.1657314927172466
0.3238175033370695,0.27253447111837353
-0.8222797370999481,1.0354472936706038
-0.8593461586126636,1.110992494734167
0.4664097663864159,0.22053682558288362
-0.8851910370215559,0.9804606240228313
-0.9251482283155212,1.051748939231177
0.6613354677127987,0.16961861432698727
-0.944591860000122,0.9214762421613993
-0.9872759716559542,0.9882343841842559
0.9102220405692023,0.12446955325385795
-1.0002335763824903,0.8587211095890356
-1.0454663094252181,0.9207013782845999
1.1978301311498498,0.08835680016565392
-1.0518811585192815,0.7924396019101102
-1.0994714531005358,0.8494203563781682
1.4986285167446793,0.06153995367360561
-1.0993145374069293,0.7228928018114296
-1.1490604443799384,0.7746783938113733
1.7935765667683838,0.042146203491930406
-1.1423299298051062,0.6503576305543688
-1.1940205408213884,0.6967778409748288
2.072288554125911,0.028177852004074452
-1.1807411166447879,0.5751258197659141
-1.2341584393217966,0.6160348715042927
2.3287066051300593,0.01816921672884795
-1.2143806506366628,0.49750272594394573
-1.2693013352937053,0.5327779725432057
2.558654056436308,0.011110219719549327
-1.2431009728952307,0.41780599501525256
-1.2992978205336971,0.4473464007345562
2.758831368079341,0.006286909462934743
-1.2667754200525565,0.3363640878886827
-1.3240186289214513,0.3600886230732763
2.92648598321,0.0031652137916743615
-1.2852991053134815,0.2535146810784251
-1.3433572371809783,0.27136075602939236
3.059331693318333,0.0013191388621701557
-1.2985896591607604,0.16960295916305648
-1.3572303303440105,0.18152501232584017
3.1555510613780458,0.0003876393039465714
-1.3065878178635864,0.0849798180770124
-1.3655781546263603,0.09094816099042434
3.2138201446635364,4.822351533186921e-05
-1.3092578505042933,3.2818293742226807e-16
-1.3683647621791633,3.5122526385748886e-16
3.233333333333286,6.77927340424307e-31
